title,content,source
[ 모젠서비스 > 이용단말 ]내비게이션의 지도 업그레이드는 어떻게 하나요?,모젠 지도 업그레이드는 차량용 A/V 및 내비게이션 A/S를 담당하고 있는현대 웰슨에서 수행하고 있습니다. 전국 현대자동차 23개 직영서비스 센터와 기아자동차 11개 직영서비스 센터에서현대 웰슨 A/S요원이 상주 근무하고 있으며전국 115개소의 현대 웰슨 협력점에서 지도 업그레이드가 가능합니다. 모젠고객센터 1588-8111로 전화주시면 지도 업그레이드 상담이 가능하며업그레이드 가능한 가까운 서비스센터에 대한 안내를 받으실 수 있습니다.,현대차 서비스센터
[ 블루링크 > 가입/해지/변경 ][가입] 블루링크에 가입하려면 어떻게 해야 하나요?,차종에 따른 가입방법은 현대자동차 홈페이지 내 블루링크 이용안내 페이지에서 확인하실 수 있습니다.※ 현대자동차 홈폐이지 > 고객서비스 > 블루링크 > 이용안내 > 서비스 가입 ▶바로가기,현대차 일반안내
[ 차량정비 > 일반 ]에어컨 성능을 향상시키는 방법 안내,"●에어컨 작동은 1단부터 작동하기 보다는 최고단수부터 작동하는 것이 좋습니다. ☞에어컨을 처음 틀때 1,2단이 아닌 3,4단부터 시작하는 게 냉각효율과 에너지 절약에 도움되며, 공기순환 모드를 잘 활용하면 냉방효과를 더욱 높일 수 있습니다. 차내 급속 냉방을 위해서는 내기순환 모드에서 에어컨을 가동하고, 최고단수로 5분 정도 작동한 뒤조정하는 게 효과적입니다. ●에어컨 콘덴서(응축기)를 청소합시다. ☞엔진오일 교환이나 세차 때 정비사에게 에어컨 컨덴서(응축기) 외부에 붙어있는 벌레,이물질,먼지 등을 압축공기나 고압세차기로 청소해달라고 부탁하면 10% 정도의 냉각효을 상승 효과를 기대할 수 있습니다. 콘덴서는 라디에이터 앞에 설치돼 차량속도와 냉각팬에 의해 기체상태의 냉매를 고압의 액체상태로 만드는 장치로, 이물질이 붙어 있으면 공기가 잘 통하지 못해 냉각효율이 떨어집니다. ●차 안의 열을 식힌 후 에어컨을 사용하세요. ☞강한 여름볕에 장시간 주차했을 때 실내도는 80도 가까이 올라간다고 합니다. 이런 차 안에서 바로 에어컨을 작동시켜도 에어컨 효과를 보기가 어렵습니다. 우선, 차문 한쪽을 열고 반대쪽 문을 열었다 닫었다를 수 차례 반복하여 실내의 더운공기를 배출하여 열을 식힌 후 에어컨을 켜야하며, 주차는 그늘을 찾아서 주차하는게 좋습니다. ●실내 에어필터를 점검하고 교환합시다. ☞요즘 차들은 대부분 실내 에어필터가 달려 나옵니다. 하지만 자신의 차량에 에어필터가 달려 있는지 조차 모르는 운전자도 적지 않습니다. 실내 에어필터를 제때 갈아주지 않으면 퀴퀴한 냄새뿐 아니라 바람까지 약하게 나옵니다. 항균필터가 달린 차라면 국내여건상 봄에는 황사, 여름에는 에어컨 사용, 겨울에는 히터를 사용하기 전 최소한 1년에 3번 정도는 필터 점검이 필요하며, 오염이 심할경우 교환해주고 매 15,000km 마다 교환하도록 되어 있습니다. 항균필터를 떼어낸 후 바람을 최대한으로 돌리면 공기 통로에 있는 먼지를 털어 낼 수 있습니다.^^",현대차 서비스센터
[ 블루링크 > 서비스 이용 ][원격제어] 원격 공조 제어 서비스 이용시 시동만 켤 수는 없나요?,원격시동/공조 기능은 공조를 미리 제어 하기 위해 시동이 함께 필요한 서비스이므로 분리해서 사용이 불가능합니다.,현대차 서비스센터
[ 블루링크 > 서비스 이용 ][가입확인서] 가입확인서는 어떻게 발급받나요?,가입확인서는 홈페이지와 블루링크 어플리케이션을 통해 발급받으실 수 있습니다.▶ 홈페이지 1) 현대자동차 홈페이지(www.hyundai.com) 로그인 2) 우측 상단 '마이페이지' 클릭 3) 최하단 '블루링크 가입확인서 발급' 클릭▶ 블루링크 어플리케이션 1) 어플리케이션 로그인 2) 메인화면 좌측 상단의 '메뉴(三)' 버튼 클릭 3) '월간 리포트' 클릭 4) '블루링크 가입확인서 발급' 항목의 '가입확인서 발급' 클릭,현대차 서비스센터
"[ 차량정비 > 일반 ]리모컨,스마트키 분실 또는 추가로 구입을 원할경우","리모컨 분실로 추가 구입을 원하실 경우, 당사 서비스망에 차를 가지고 내방을 하시거나,모비스 부품대리점을 통해 리모컨을 선구입후 (현대 모비스(1588-7278)로 문의) 차량과 함께현대자동차 서비스망 내방 하셔서 주파수 셋팅 후에 사용 하시면 됩니다.※ 당사 서비스망은 현대자동차홈페이지 > 고객서비스 > 서비스네트워크 > 서비스네트워크 검색/예약 참조 ▶바로가기",현대차 서비스센터
[ 블루링크 > 가입/해지/변경 ][해지] 블루링크를 해지하려면 어떻게 해야 하나요?,"블루링크 센터를 통해 서비스를 해지하실 수 있습니다.① 블루링크 센터 전화 연결② 해지 신청서 작성 및 구비서류 준비 - 해지신청서는 홈페이지의 블루링크 자료실에서 다운로드하실 수 있습니다. - 구비서류 > 개인 : 신분증 사본 > 개인사업자 : 본인(대표자) 신분증 사본, 사업자등록증 사본, 인감증명서, 직원의 신분증 또는 재직증명서 > 법인 : 사업자 등록증 사본, 인감증명서, 직원의 신분증 혹은 재직증명서 > 대리인이 해지 신청을 하시는 경우 ☞ 전화로 고객 본인 의사 확인 가능시 : 가입자 신분증 및 대리인 신분증 사본 ☞ 전화로 고객 본인 의사 확인이 불가능시 : 대리인의 신분증 및 위임장(인감 날인)③ 팩스나 이메일을 이용해 블루링크 센터에 해지 신청서와 구비서류 제출- FAX : 031-8086-1894- 이메일 : tmsmaster@hyundai.com※ 블루링크 센터- 전화 : 1899-0606- 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무)",현대차 일반안내
[ 블루링크 > 서비스 이용 ][원격제어] 블루링크 어플리케이션 인증 비밀번호 변경은 어떻게 하나요?,블루링크 센터 또는 현대자동차 홈페이지를 통해 변경이 가능합니다.※ 블루링크 센터 - 전화 : 1899-0606 - 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무),현대차 서비스센터
[ 블루링크 > 서비스 이용 ][원격제어] 다른 가족의 스마트폰에서도 블루링크 어플리케이션 사용이 가능한가요?,"로그인 정보 입력 후 차량 계약자 핸드폰 번호로 발송된 인증번호를 입력하시면, 다른 스마트폰에서도 이용 가능합니다. 다만 로그인 정보는 개인정보와 관련된 사항이니 고객님의 각별한 주의가 필요합니다.",현대차 서비스센터
[ 블루링크 > 서비스 이용 ][안전보안] 현대 긴급 출동봉사반에서 와서 시동을 걸어주는 경우 추가 비용이 드나요?,"현대 긴급출동의 경우, 보증수리 대상인 경우에는 출동비가 무상이나, 보증수리 초과 차량의 출동비는 현장에서 청구되며, 보증수리 차량의 경우에도 출동비는 무상이나 소요된 부품 등에 대해서는 고객이 비용을 지급합니다.",현대차 서비스센터
