title,content,id,분류,작성일
오피넷에 게시되는 유가는 세금을 포함하고 있나요?,"오피넷에 게시되는 모든 유가는 부가가치세 등 모든 세금이 포함된 최종 가격입니다. (세금관련 사항은 '유가관련정보-유류세' 에서 찾아보실 수 있습니다.) '주유소충전소찾기' 메뉴에서 보시는 가격은 물론, 유가통계정보 메뉴에서 보시는 가격도 모두 세금을 포함하는 가격이며, 정유사가격의 경우 개별 세금내역과 함께 세전, 세후 가격을 모두 보실 수 있습니다.",14,가격문의,2025.09.29
LPG 판매가격 보고 안내,"LPG집단공급사업자, 용기판매소 및 용기충전소의 판매가격 보고 방법을 게시하오니 첨부 참조하여 가격보고를 해주시기 바랍니다. 문의사항은 1688-5142 로 전화주시면 안내해 드리겠습니다. 감사합니다.",1316,석유사업자,2025.07.29
오피넷에 나오는 가격은 어떻게 수집되나요?,"오피넷은 전국 약 12,000여개 이상의 주유소와 LPG충전소를 전수조사하여 판매가격정보를 수집합니다. 1. VAN사업자를 통해 신용카드 결제 단말기에서 제품별 판매 단가를 자동수집하여 제공 2. 주유소 등 석유 판매업자가 직접 입력 보고(홈페이지/앱, ARS) 이 중 VAN(카드 단말기)을 이용한 방법이 가장 많이 사용되고 있으며, 카드를 이용하여 결제된 정보를 하루 6회 받아오고 있습니다. 00:00~01:00 => 02:00 업데이트 06:00~08:00 => 09:00 업데이트 08:00~11:00 => 12:00 업데이트 11:00~15:00 => 16:00 업데이트 15:00~18:00 => 19:00 업데이트 18:00~24:00 => 01:00 업데이트",5,가격문의,2025.05.23
오피넷에서 유가는 어떻게 볼 수 있나요?,"개별 주유소/충전소의 판매가격을 알고 싶다면 국내유가통계>주유소/충전소>유가내려받기 메뉴, 전체 통계를 알고 싶다면 국내유가통계>주유소/충전소>평균판매가격 메뉴에서 확인하실 수 있습니다.",13,가격문의,2025.05.23
아이디 혹은 비밀번호를 분실했어요,"로그인 화면에서 아이디/비밀번호 찾기 를 통해 찾으실 수 있습니다. 아이디, 비밀번호 찾기로 확인 불가능한 경우 관리자에게 문의주세요 ☎ 1688-5142",22,일반사용자,2025.05.23
불법거래업소를 등록하고 싶습니다,"불법행위업소공표 담당자께서는 오피넷에서 지방자치단체로 회원가입 후, 불법행위 행정처분 공표사항을 등록하실 수 있습니다.",29,지방자치단체,2025.05.23
정유사_수입사_석유화학사 월간판매가격 보고 안내,"정유사, 수입사 및 석유화학사(부산물인석유제품 생산판매업자)의 월간 판매가격 보고 방법을 첨부와 같이 안내하오니 참조바랍니다.",1326,석유사업자,2025.01.23
불법거래업소에 대해 알고 싶어요,불법거래업소 현황은 메인 화면의 ‘불법행위공표사항'을 통해서 확인하실 수 있습니다. 이는 각 지방자치단체 담당자가 등록한 게시물로 공표기간동안 게시됩니다.,27,일반사용자,2023.12.12
행정처분 공표 기준에 대해 알려드립니다,"행정처분 공표 기준에 대해 알려드립니다. 1. 처분 내용 - 석유및석유대체연료사업법 또는 액화석유가스의안전관리및사업법에 의하여 석유사업자, LPG사업자 는 가짜석유판매, 정량미달, 품질기준위반 등의 행위시 해당지자체로부터 행정처분을 받게됩니다. - 처분은 위반내용, 위반횟수, 위반경중 등에따라 과징금부과, 사업정지, 등록취소 등이 있습니다. 2. 공표 기간 - 행정처분시 사업정지 기간이 정해지게 되며, 공표는 사업정지 기간의 2배에 상당하는 기간 동안 이루어집니다. - 과징금 처분인 경우, 사업정지를 과징금으로 갈음하는 것이기 때문에 사업정지를 받았을 경우와 동일한 공표기간을 갖게 됩니다. 3. FAQ (1) 과징금 납부를 했는데도 공표가 돼야 하나요? : 예. 과징금 납부 유무와 관계없이 처분기간은 처분시 정해진 그대로 유지됩니다. 따라서 해당기간동안은 공표가 유지됩니다. (2) 과징금 처분일 경우 영업이 가능하나요? : 예. 사업정지 처분이 아닌 과징금 처분일 경우 정상영업이 가능합니다. 하지만 과징금 납부를 하지 않았을 경우엔 사업정지로 처분이 변경될 수 있습니다. (3) 모든 행정처분에 대해 공표를 해야하나요? : 아닙니다. 석유및석유대체연료사업법 제39조의2에 의거 품질기준 미달, 가짜석유제품 취급, 정량미달 판매, 용도외 제품 판매의 경우에만 공표할 수 있습니다.",38,일반사용자,2023.12.12
불법행위 업소 등록 및 공표,1. 불법행위와 관련된 모든 권한과 책임은 지자체에 있습니다. 2. 불법행위 공표 후 소송에 들어가 집행정지 등이 인용된 경우에는 무죄 추정의 원칙에 따라 해당 지자체에서는 공표를 삭제하여 주시기 바랍니다. 3. 불법행위 등록과 관련되어 처분시점이 2014.9.22 이후인 경우 개정된 부칙(산업통상자원부령 제84호)에 따라 사업정지 처분(과징금 부과처분)의 공표기간에 있어 정지기간의 2배에 상당하는 기간이 적용됨을 알려드립니다. ( 과거 행위를 바탕으로 처분을 내리는 경우 과거 행위가 2014.9.22 이전이라 하더라도 처분이 2014.9.22 이후에 내려진 경우라면 공표기간의 적용은 개정된 산업통상자원부령에 따라 이루어지며 이에 따라 공표 기간은 정지기간의 2배에 상당하는 기간이 됩니다.) 공표와 관련된 석유및 석유대체연료 사업법 조문을 첨부하오니 참고하시기 바랍니다. 감사합니다.,922,지방자치단체,2022.01.17
